сборка 103c0e8 (копия dist-g1, сервер 127.0.0.1:4422), DPR 1, инструмент instrumenty/zanizhenie.js; измерений 180 (4 страницы × 45 окон)
разбор sizes против выбора браузера: несовпадений 0
окна от 641 px, где текст растит героя выше нижней границы: /max-payne-3/ 1060x600 (602.8 при 600), /max-payne-3/ 1100x600 (605.9 при 600)
измерения, где sizes меньше нарисованной ширины (занижение > 1): /max-payne-3/ 1060x600 ×1.003, /max-payne-3/ 1100x600 ×1.002
наибольшее занижение по страницам: /max-payne-3/ ×1.003 на 1060x600; /max-payne-2/ ×1 на 360x740; /max-payne-1/ ×1 на 360x740; /remake/ ×0.841 на 641x900
до 640 px высота рамки арта от текста не зависит (полоса max(40vh, 260px)); герой там выше рамки, но нарисованная ширина — от рамки.

/max-payne-3/ 360x740: герой 874.3 (граница 296), рамка 360×296, нарисовано 917, sizes 917, занижение ×1, кандидат 1200
/max-payne-2/ 700x900: герой 810 (граница 810), рамка 700×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 720x900: герой 810 (граница 810), рамка 720×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 768x1024: герой 920 (граница 920), рамка 768×919, нарисовано 2846, sizes 2849, занижение ×0.999, кандидат 1920
/max-payne-2/ 800x900: герой 810 (граница 810), рамка 800×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 820x1180: герой 920 (граница 920), рамка 820×919, нарисовано 2846, sizes 2849, занижение ×0.999, кандидат 1920
/max-payne-2/ 860x900: герой 810 (граница 810), рамка 860×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 900x700: герой 630 (граница 630), рамка 900×629, нарисовано 1948, sizes 1951, занижение ×0.998, кандидат 1920
/max-payne-2/ 960x800: герой 720 (граница 720), рамка 960×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 1920
/max-payne-2/ 1000x900: герой 810 (граница 810), рамка 1000×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1024x768: герой 691.2 (граница 691.2), рамка 1024×690.2, нарисовано 2137, sizes 2140, занижение ×0.999, кандидат 1920
/max-payne-2/ 1025x900: герой 810 (граница 810), рамка 697×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1060x900: герой 810 (граница 810), рамка 720.8×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1100x800: герой 720 (граница 720), рамка 748×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 1920
/max-payne-2/ 1140x900: герой 810 (граница 810), рамка 775.2×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1180x900: герой 810 (граница 810), рамка 802.4×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1194x834: герой 750.6 (граница 750.6), рамка 811.9×749.6, нарисовано 2321, sizes 2324, занижение ×0.999, кандидат 1920
/max-payne-2/ 1200x900: герой 810 (граница 810), рамка 816×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1280x800: герой 720 (граница 720), рамка 870.4×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 1920
/max-payne-2/ 1359x900: герой 810 (граница 810), рамка 924.1×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1360x900: герой 810 (граница 810), рамка 924.8×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1440x900: герой 810 (граница 810), рамка 979.2×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 1920
/max-payne-2/ 1600x900: герой 810 (граница 810), рамка 1088×809, нарисовано 2505, sizes 2720, занижение ×0.921, кандидат 1920
/max-payne-2/ 1920x1080: герой 920 (граница 920), рамка 1305.6×919, нарисовано 2846, sizes 3264, занижение ×0.872, кандидат 1920
/max-payne-2/ 320x640: герой 799.9 (граница 260), рамка 320×260, нарисовано 805, sizes 805, занижение ×1, кандидат 1200
/max-payne-2/ 640x360: герой 707.4 (граница 260), рамка 640×260, нарисовано 805, sizes 1280, занижение ×0.629, кандидат 1600
/max-payne-2/ 800x600: герой 600 (граница 600), рамка 800×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-2/ 1024x600: герой 600 (граница 600), рамка 1024×599, нарисовано 1855, sizes 2048, занижение ×0.906, кандидат 1920
/max-payne-2/ 1280x720: герой 648 (граница 648), рамка 870.4×647, нарисовано 2004, sizes 2176, занижение ×0.921, кандидат 1920
/max-payne-2/ 1366x768: герой 691.2 (граница 691.2), рамка 928.9×690.2, нарисовано 2137, sizes 2322, занижение ×0.92, кандидат 1920
/max-payne-2/ 2560x1440: герой 920 (граница 920), рамка 1740.8×919, нарисовано 2846, sizes 4352, занижение ×0.654, кандидат 1920
/max-payne-2/ 3840x2160: герой 920 (граница 920), рамка 2611.2×919, нарисовано 2846, sizes 6528, занижение ×0.436, кандидат 1920
/max-payne-2/ 641x600: герой 600 (граница 600), рамка 641×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-2/ 680x600: герой 600 (граница 600), рамка 680×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-2/ 720x600: герой 600 (граница 600), рамка 720×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-2/ 1025x600: герой 600 (граница 600), рамка 697×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-2/ 1060x600: герой 600 (граница 600), рамка 720.8×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 1920
/max-payne-2/ 1100x600: герой 600 (граница 600), рамка 748×599, нарисовано 1855, sizes 1870, занижение ×0.992, кандидат 1920
/max-payne-1/ 360x740: герой 874.3 (граница 296), рамка 360×296, нарисовано 917, sizes 917, занижение ×1, кандидат 1200
/max-payne-1/ 390x844: герой 860.5 (граница 337.6), рамка 390×337.6, нарисовано 1045, sizes 1046, занижение ×1, кандидат 1200
/max-payne-1/ 414x896: герой 884.3 (граница 358.4), рамка 414×358.4, нарисовано 1110, sizes 1110, занижение ×1, кандидат 1200
/max-payne-1/ 480x800: герой 853.9 (граница 320), рамка 480×320, нарисовано 991, sizes 991, занижение ×1, кандидат 1200
/max-payne-1/ 560x800: герой 798.9 (граница 320), рамка 560×320, нарисовано 991, sizes 1120, занижение ×0.885, кандидат 1200
/max-payne-1/ 600x900: герой 842.6 (граница 360), рамка 600×360, нарисовано 1115, sizes 1200, занижение ×0.929, кандидат 1200
/max-payne-1/ 640x900: герой 846.3 (граница 360), рамка 640×360, нарисовано 1115, sizes 1280, занижение ×0.871, кандидат 1600
/max-payne-1/ 641x900: герой 810 (граница 810), рамка 641×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 700x900: герой 810 (граница 810), рамка 700×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 720x900: герой 810 (граница 810), рамка 720×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 768x1024: герой 920 (граница 920), рамка 768×919, нарисовано 2846, sizes 2849, занижение ×0.999, кандидат 3200
/max-payne-1/ 800x900: герой 810 (граница 810), рамка 800×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 820x1180: герой 920 (граница 920), рамка 820×919, нарисовано 2846, sizes 2849, занижение ×0.999, кандидат 3200
/max-payne-1/ 860x900: герой 810 (граница 810), рамка 860×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 900x700: герой 630 (граница 630), рамка 900×629, нарисовано 1948, sizes 1951, занижение ×0.998, кандидат 2400
/max-payne-1/ 960x800: герой 720 (граница 720), рамка 960×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 2400
/max-payne-1/ 1000x900: герой 810 (граница 810), рамка 1000×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1024x768: герой 691.2 (граница 691.2), рамка 1024×690.2, нарисовано 2137, sizes 2140, занижение ×0.999, кандидат 2400
/max-payne-1/ 1025x900: герой 810 (граница 810), рамка 697×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1060x900: герой 810 (граница 810), рамка 720.8×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1100x800: герой 720 (граница 720), рамка 748×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 2400
/max-payne-1/ 1140x900: герой 810 (граница 810), рамка 775.2×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1180x900: герой 810 (граница 810), рамка 802.4×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1194x834: герой 750.6 (граница 750.6), рамка 811.9×749.6, нарисовано 2321, sizes 2324, занижение ×0.999, кандидат 2400
/max-payne-1/ 1200x900: герой 810 (граница 810), рамка 816×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1280x800: герой 720 (граница 720), рамка 870.4×719, нарисовано 2227, sizes 2230, занижение ×0.999, кандидат 2400
/max-payne-1/ 1359x900: герой 810 (граница 810), рамка 924.1×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1360x900: герой 810 (граница 810), рамка 924.8×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1440x900: герой 810 (граница 810), рамка 979.2×809, нарисовано 2505, sizes 2508, занижение ×0.999, кандидат 3200
/max-payne-1/ 1600x900: герой 810 (граница 810), рамка 1088×809, нарисовано 2505, sizes 2720, занижение ×0.921, кандидат 3200
/max-payne-1/ 1920x1080: герой 920 (граница 920), рамка 1305.6×919, нарисовано 2846, sizes 3264, занижение ×0.872, кандидат 3200
/max-payne-1/ 320x640: герой 869.1 (граница 260), рамка 320×260, нарисовано 805, sizes 805, занижение ×1, кандидат 1200
/max-payne-1/ 640x360: герой 746.3 (граница 260), рамка 640×260, нарисовано 805, sizes 1280, занижение ×0.629, кандидат 1600
/max-payne-1/ 800x600: герой 600 (граница 600), рамка 800×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 2400
/max-payne-1/ 1024x600: герой 600 (граница 600), рамка 1024×599, нарисовано 1855, sizes 2048, занижение ×0.906, кандидат 2400
/max-payne-1/ 1280x720: герой 648 (граница 648), рамка 870.4×647, нарисовано 2004, sizes 2176, занижение ×0.921, кандидат 2400
/max-payne-1/ 1366x768: герой 691.2 (граница 691.2), рамка 928.9×690.2, нарисовано 2137, sizes 2322, занижение ×0.92, кандидат 2400
/max-payne-1/ 2560x1440: герой 920 (граница 920), рамка 1740.8×919, нарисовано 2846, sizes 4352, занижение ×0.654, кандидат 3200
/max-payne-1/ 3840x2160: герой 920 (граница 920), рамка 2611.2×919, нарисовано 2846, sizes 6528, занижение ×0.436, кандидат 3200
/max-payne-1/ 641x600: герой 600 (граница 600), рамка 641×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 2400
/max-payne-1/ 680x600: герой 600 (граница 600), рамка 680×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 2400
/max-payne-1/ 720x600: герой 600 (граница 600), рамка 720×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 2400
/max-payne-1/ 1025x600: герой 600 (граница 600), рамка 697×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 2400
/max-payne-1/ 1060x600: герой 600 (граница 600), рамка 720.8×599, нарисовано 1855, sizes 1858, занижение ×0.998, кандидат 2400
/max-payne-1/ 1100x600: герой 600 (граница 600), рамка 748×599, нарисовано 1855, sizes 1870, занижение ×0.992, кандидат 2400
/remake/ 360x740: герой 895.9 (граница 296), рамка 360×296, нарисовано 395, sizes 720, занижение ×0.548, кандидат 1200
/remake/ 390x844: герой 914.3 (граница 337.6), рамка 390×337.6, нарисовано 450, sizes 780, занижение ×0.577, кандидат 1200
/remake/ 414x896: герой 938.4 (граница 358.4), рамка 414×358.4, нарисовано 478, sizes 828, занижение ×0.577, кандидат 1200
/remake/ 480x800: герой 846.5 (граница 320), рамка 480×320, нарисовано 480, sizes 960, занижение ×0.5, кандидат 1200
/remake/ 560x800: герой 854.5 (граница 320), рамка 560×320, нарисовано 560, sizes 1120, занижение ×0.5, кандидат 1200
/remake/ 600x900: герой 870.7 (граница 360), рамка 600×360, нарисовано 600, sizes 1200, занижение ×0.5, кандидат 1200
/remake/ 640x900: герой 874.5 (граница 360), рамка 640×360, нарисовано 640, sizes 1280, занижение ×0.5, кандидат 1280
/remake/ 641x900: герой 810 (граница 810), рамка 641×809, нарисовано 1079, sizes 1282, занижение ×0.841, кандидат 1280
/remake/ 700x900: герой 810 (граница 810), рамка 700×809, нарисовано 1079, sizes 1400, занижение ×0.77, кандидат 1280
/remake/ 720x900: герой 810 (граница 810), рамка 720×809, нарисовано 1079, sizes 1440, занижение ×0.749, кандидат 1280
/remake/ 768x1024: герой 920 (граница 920), рамка 768×919, нарисовано 1225, sizes 1536, занижение ×0.798, кандидат 1280
/remake/ 800x900: герой 810 (граница 810), рамка 800×809, нарисовано 1079, sizes 1600, занижение ×0.674, кандидат 1280
/remake/ 820x1180: герой 920 (граница 920), рамка 820×919, нарисовано 1225, sizes 1640, занижение ×0.747, кандидат 1280
/remake/ 860x900: герой 810 (граница 810), рамка 860×809, нарисовано 1079, sizes 1720, занижение ×0.627, кандидат 1280
/remake/ 900x700: герой 630 (граница 630), рамка 900×629, нарисовано 900, sizes 1800, занижение ×0.5, кандидат 1280
/remake/ 960x800: герой 720 (граница 720), рамка 960×719, нарисовано 960, sizes 1920, занижение ×0.5, кандидат 1280
/remake/ 1000x900: герой 810 (граница 810), рамка 1000×809, нарисовано 1079, sizes 2000, занижение ×0.539, кандидат 1280
/remake/ 1024x768: герой 691.2 (граница 691.2), рамка 1024×690.2, нарисовано 1024, sizes 2048, занижение ×0.5, кандидат 1280
/remake/ 1025x900: герой 810 (граница 810), рамка 697×809, нарисовано 1079, sizes 1743, занижение ×0.619, кандидат 1280
/remake/ 1060x900: герой 810 (граница 810), рамка 720.8×809, нарисовано 1079, sizes 1802, занижение ×0.599, кандидат 1280
/remake/ 1100x800: герой 720 (граница 720), рамка 748×719, нарисовано 959, sizes 1870, занижение ×0.513, кандидат 1280
/remake/ 1140x900: герой 810 (граница 810), рамка 775.2×809, нарисовано 1079, sizes 1938, занижение ×0.557, кандидат 1280
/remake/ 1180x900: герой 810 (граница 810), рамка 802.4×809, нарисовано 1079, sizes 2006, занижение ×0.538, кандидат 1280
/remake/ 1194x834: герой 750.6 (граница 750.6), рамка 811.9×749.6, нарисовано 999, sizes 2030, занижение ×0.492, кандидат 1280
/remake/ 1200x900: герой 810 (граница 810), рамка 816×809, нарисовано 1079, sizes 2040, занижение ×0.529, кандидат 1280
/remake/ 1280x800: герой 720 (граница 720), рамка 870.4×719, нарисовано 959, sizes 2176, занижение ×0.441, кандидат 1280
/remake/ 1359x900: герой 810 (граница 810), рамка 924.1×809, нарисовано 1079, sizes 2310, занижение ×0.467, кандидат 1280
/remake/ 1360x900: герой 810 (граница 810), рамка 924.8×809, нарисовано 1079, sizes 2312, занижение ×0.467, кандидат 1280
/remake/ 1440x900: герой 810 (граница 810), рамка 979.2×809, нарисовано 1079, sizes 2448, занижение ×0.441, кандидат 1280
/remake/ 1600x900: герой 810 (граница 810), рамка 1088×809, нарисовано 1088, sizes 2720, занижение ×0.4, кандидат 1280
/remake/ 1920x1080: герой 920 (граница 920), рамка 1305.6×919, нарисовано 1306, sizes 3264, занижение ×0.4, кандидат 1280
/remake/ 320x640: герой 916.8 (граница 260), рамка 320×260, нарисовано 347, sizes 640, занижение ×0.542, кандидат 1200
/remake/ 640x360: герой 774.5 (граница 260), рамка 640×260, нарисовано 640, sizes 1280, занижение ×0.5, кандидат 1280
/remake/ 800x600: герой 600 (граница 600), рамка 800×599, нарисовано 800, sizes 1600, занижение ×0.5, кандидат 1280
/remake/ 1024x600: герой 600 (граница 600), рамка 1024×599, нарисовано 1024, sizes 2048, занижение ×0.5, кандидат 1280
/remake/ 1280x720: герой 648 (граница 648), рамка 870.4×647, нарисовано 870, sizes 2176, занижение ×0.4, кандидат 1280
/remake/ 1366x768: герой 691.2 (граница 691.2), рамка 928.9×690.2, нарисовано 929, sizes 2322, занижение ×0.4, кандидат 1280
/remake/ 2560x1440: герой 920 (граница 920), рамка 1740.8×919, нарисовано 1741, sizes 4352, занижение ×0.4, кандидат 1280
/remake/ 3840x2160: герой 920 (граница 920), рамка 2611.2×919, нарисовано 2611, sizes 6528, занижение ×0.4, кандидат 1280
/remake/ 641x600: герой 600 (граница 600), рамка 641×599, нарисовано 799, sizes 1282, занижение ×0.623, кандидат 1280
/remake/ 680x600: герой 600 (граница 600), рамка 680×599, нарисовано 799, sizes 1360, занижение ×0.587, кандидат 1280
/remake/ 720x600: герой 600 (граница 600), рамка 720×599, нарисовано 799, sizes 1440, занижение ×0.555, кандидат 1280
/remake/ 1025x600: герой 600 (граница 600), рамка 697×599, нарисовано 799, sizes 1743, занижение ×0.458, кандидат 1280
/remake/ 1060x600: герой 600 (граница 600), рамка 720.8×599, нарисовано 799, sizes 1802, занижение ×0.443, кандидат 1280
/remake/ 1100x600: герой 600 (граница 600), рамка 748×599, нарисовано 799, sizes 1870, занижение ×0.427, кандидат 1280
